scene_id,start_tc,end_tc,duration_sec,page,shot_type,capture_focus,subtitle,priority,status,notes
S01,00:00.0,00:03.0,3.0,introduction,fast-mosaic,브랜드/운영 개요 카드 크롭,정보는 넘치는데 결정은 왜 늦을까,high,pending,
S02,00:03.0,00:08.0,5.0,dashboard,hero-wide,KPI+차트 동시 노출,모든 지표를 하나의 흐름으로,high,pending,
S03,00:08.0,00:10.5,2.5,dashboard,close-up,요약 카드(백로그/보호대상),실시간 모니터링,high,pending,
S04,00:10.5,00:13.0,2.5,performance-analysis,chart-pan,월별추세/레이더,팀 비교 인사이트,high,pending,
S05,00:13.0,00:15.0,2.0,predictive-analysis,card-focus,실행계획 우선순위/상태,즉시 실행 포인트,high,pending,
S06A,00:15.0,00:17.0,2.0,worker-management,list-view,승인/관리 리스트,복잡한 보고에서 명확한 실행으로,medium,pending,
S06B,00:17.0,00:19.0,2.0,reports,preview-view,리포트 생성/미리보기,복잡한 보고에서 명확한 실행으로,medium,pending,
S07A,00:19.0,00:20.2,1.2,dashboard,kpi-card,KPI 카드 A,Faster Decisions. Higher Impact.,high,pending,
S07B,00:20.2,00:21.4,1.2,dashboard,kpi-card,KPI 카드 B,Faster Decisions. Higher Impact.,high,pending,
S07C,00:21.4,00:23.0,1.6,dashboard,kpi-card,KPI 카드 C,Faster Decisions. Higher Impact.,high,pending,
S08A,00:23.0,00:24.3,1.3,field-context-input,state-card,저장 상태 카드,어디서나 같은 판단 속도,medium,pending,
S08B,00:24.3,00:25.6,1.3,intervention-coaching,priority-card,우선순위 개입 카드,어디서나 같은 판단 속도,medium,pending,
S08C,00:25.6,00:27.0,1.4,judgment-tagging-input,quality-panel,입력 완료율/오류 수,어디서나 같은 판단 속도,medium,pending,
S09,00:27.0,00:30.0,3.0,introduction,end-card,로고+CTA,지금 차세대 운영 표준을 시작하세요,high,pending,
