recordId,sourceType,siteId,teamId,workerId,trade,taskStep,shiftType,recordDate,rawText,riskCategory,riskSubcategory,riskCategoryCode,riskSubcategoryCode,ontologyNodeId,judgmentTags,judgmentTagCodes,vectorTaskUnderstanding,vectorHazardRecognition,vectorSequenceUnderstanding,vectorRiskNormalization,vectorResponseCapability,linkedMetric,precursorSignal,recommendedAction,recommendedActionCode,reviewNeeded,reviewer,reviewNote,consensusStatus,consensusNote
2026-05-16-001,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-002,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-003,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-004,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-005,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-006,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-007,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-008,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-009,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-010,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-011,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-012,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-013,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-014,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-015,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-016,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-017,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-018,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-019,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
2026-05-16-020,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,pending,
